study,paper,year,area,model,size_b,comparison,method,metric,direction,dataset,baseline_cond,baseline,treatment_cond,treatment,delta,rel_change_pct,n_eval,variance_reported,verified,source,notes
2303.08774,GPT-4 TR,2023,calibration,GPT-4,,pretrain_vs_rlhf,RLHF,ECE,lower,MMLU subset,pretrained,0.007,post-RLHF,0.074,0.067,957.1,,false,false,raw-reports/01,Figure 8; n unreported; verify against PDF
2509.20088,Causal Understanding,2025,calibration,Pythia-7B vs Dolly-v2-7B,7,base_vs_instruct,SFT,ECE,lower,causal QA,base,0.13,instruction-tuned,0.36,0.23,176.9,,false,false,raw-reports/01,same-base controlled comparison
2509.20088,Causal Understanding,2025,calibration,Pythia-7B vs Dolly-v2-7B,7,base_vs_instruct,SFT,predictive entropy,context,causal QA,base,1.32,instruction-tuned,0.92,-0.40,-30.3,,false,false,raw-reports/01,sharpening alongside miscalibration
2505.01997,Restoring Calibration,2025,calibration,aligned 7-8B open LLMs,7.5,posthoc_fix,CFT,conf-ECE OOD,lower,multi,temperature scaling,0.1160,calibration-aware FT,0.0225,-0.0935,-80.6,,false,false,raw-reports/01,also LS 0.0499
2410.09724,Taming Overconfidence,2024,calibration,Llama3-8B,8,rlhf_variant,PPO-M vs PPO,ECE,lower,GSM8K,vanilla PPO,,PPO-M,,-6.44,,,false,false,raw-reports/01,pp delta; absolute baselines not retrieved
2410.09724,Taming Overconfidence,2024,capability,Llama3-8B,8,rlhf_variant,PPO-M vs PPO,accuracy,higher,GSM8K,vanilla PPO,,PPO-M,,2.73,,,false,false,raw-reports/01,calibration fix without accuracy cost
2205.14334,Lin verbalized uncertainty,2022,calibration,GPT-3 175B,175,uncertainty_method_under_shift,SFT,MSE,lower,CalibratedMath multi-answer,answer logit zero-shot,37.4,verbalized finetuned,22.0,-15.4,-41.2,,false,true,raw-reports/01,from official repo README (primary source)
2205.14334,Lin verbalized uncertainty,2022,calibration,GPT-3 175B,175,uncertainty_method_under_shift,SFT,MSE,lower,CalibratedMath multiply-divide,answer logit zero-shot,10.4,verbalized finetuned,15.5,5.1,49.0,,false,true,raw-reports/01,verbalized worse on this shift; from repo README
2305.14975,Just Ask for Calibration,2023,calibration,"ChatGPT,GPT-4,Claude",,prob_vs_verbalized,prompting,ECE,lower,"TriviaQA,SciQ,TruthfulQA",conditional probs,,verbalized confidence,,,-50.0,,false,false,raw-reports/01,relative claim from abstract; per-cell values pending PDF
2306.13063,Can LLMs Express Uncertainty,2023,calibration,"GPT/Vicuna/Llama-2",,blackbox_vs_whitebox,prompting,AUROC failure prediction,higher,multi,black-box,0.522,white-box token probs,0.605,0.083,15.9,,false,false,raw-reports/01,verbalized confidence clusters 80-100%
